Smp_001020.1 GO:0003906,GO:0004519,GO:0005506,GO:0005622,GO:0005634,GO:0006284,GO:0006974,GO:0016798,GO:0043565,GO:0051539
Smp_001030.1 GO:0005634,GO:0005737
Smp_001040.1 GO:0003777,GO:0005524,GO:0005874,GO:0005875,GO:0007018
Smp_001050.1 GO:0001932,GO:0005952,GO:0006468,GO:0007165,GO:0008603,GO:0030552
Smp_001070.1 GO:0001584,GO:0004930,GO:0005886,GO:0007186,GO:0016021
Smp_001080.1 GO:0016787
Smp_001090.1 GO:0005634,GO:0005643,GO:0006406,GO:0065002
Smp_001095.1 GO:0003676,GO:0005634
Smp_001100.1 GO:0005509,GO:0005576,GO:0007155,GO:0016020,GO:0016021
Smp_001120.1 GO:0005739,GO:0005840
Smp_001150.1 GO:0016020,GO:0016021
Smp_001160.1 GO:0005737
Smp_001170.1 GO:0005524,GO:0005737
Smp_001180.1 GO:0003677,GO:0004386,GO:0005524,GO:0005634,GO:0006281,GO:0006350,GO:0006355,GO:0008270,GO:0016568,GO:0016787
Smp_001210.1 GO:0003774,GO:0003779,GO:0005516,GO:0005524,GO:0005737,GO:0016459
Smp_001330.1 GO:0005509,GO:0007219,GO:0007275,GO:0016020,GO:0016021,GO:0030154
Smp_001360.1 GO:0004798,GO:0005524,GO:0006233
Smp_001390.1 GO:0000166,GO:0005737
Smp_001410.1 GO:0005975,GO:0016829,GO:0046872
Smp_001420.1 GO:0005097,GO:0005622,GO:0032313
Smp_001430.1 GO:0003674,GO:0005739,GO:0005743,GO:0006744
Smp_001500.1 GO:0003723,GO:0003743,GO:0005737,GO:0006412,GO:0006413,GO:0006417
Smp_001520.1 GO:0016020,GO:0016021
Smp_001530.1 GO:0006887,GO:0015031,GO:0031410
Smp_001560.1 GO:0006512,GO:0008270,GO:0016020
Smp_001590.1 GO:0005634
Smp_001640.1 GO:0015078,GO:0015992,GO:0016471,GO:0016820
Smp_001780.1 GO:0016020,GO:0016021
Smp_001830.1 GO:0003735,GO:0005622,GO:0005634,GO:0005840,GO:0006412,GO:0042254
Smp_001890.1 GO:0005576,GO:0008200,GO:0009405
Smp_001900.1 GO:0005886,GO:0007155,GO:0016021,GO:0031225
Smp_001940.1 GO:0006744,GO:0008425,GO:0008689
Smp_001950.1 GO:0016020,GO:0016021
Smp_001960.1 GO:0000049,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0006417,GO:0015934,GO:0019843
Smp_001980.1 GO:0003700,GO:0005634,GO:0006350,GO:0006355,GO:0007275,GO:0043565
Smp_002010.1 GO:0005634,GO:0006364,GO:0042254
Smp_002060.1 GO:0005576,GO:0008200,GO:0009405
Smp_002070.1 GO:0005576,GO:0008200,GO:0009405
Smp_002080.1 GO:0004478,GO:0005524,GO:0006730
Smp_002100.1 GO:0015031,GO:0016020,GO:0016021
Smp_002150.1 GO:0004252,GO:0005509,GO:0005576,GO:0006508,GO:0008233
Smp_002160.1 GO:0003677,GO:0005634,GO:0006281,GO:0006350,GO:0006355,GO:0006974,GO:0016481,GO:0016568
Smp_002180.1 GO:0005634,GO:0005737,GO:0006350,GO:0006355,GO:0015031
Smp_002190.1 GO:0003723,GO:0005634,GO:0006397,GO:0016787,GO:0042382
Smp_002230.1 GO:0005634,GO:0006350,GO:0006355
Smp_002280.1 GO:0003777,GO:0005524,GO:0005874,GO:0005875,GO:0007018
Smp_002350.1 GO:0005524
Smp_002380.1 GO:0005634,GO:0006464,GO:0016787
Smp_002390.1 GO:0016740
Smp_002410.1 GO:0019904
Smp_002470.1 GO:0005509,GO:0005737,GO:0006260,GO:0007049,GO:0007059,GO:0007076,GO:0051301
Smp_002510.1 GO:0008661,GO:0009228,GO:0016114
Smp_002550.1 GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006397,GO:0006417,GO:0051028
Smp_002550.2 GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006397,GO:0051028
Smp_002600.1 GO:0004252,GO:0006508,GO:0008233
Smp_002630.1 GO:0005576,GO:0008200,GO:0009405
Smp_002640.1 GO:0003700,GO:0005634,GO:0006355,GO:0007275,GO:0043565
Smp_002810.1 GO:0005524,GO:0005634,GO:0005737,GO:0017111
Smp_002820.1 GO:0003723,GO:0005634,GO:0006397,GO:0008270
Smp_002820.2 GO:0005634,GO:0005737
Smp_002820.3 GO:0003723,GO:0005634,GO:0006397,GO:0008270
Smp_002870.1 GO:0016020,GO:0016021
Smp_002880.1 GO:0015986,GO:0016469,GO:0033178,GO:0046933,GO:0046961
Smp_002920.1 GO:0016020,GO:0016021
Smp_002920.2 GO:0016020,GO:0016021
Smp_002930.1 GO:0000786,GO:0003677,GO:0005634,GO:0005694,GO:0006334
Smp_002960.1 GO:0005737,GO:0006412,GO:0006415,GO:0016149
Smp_003000.1 GO:0003677,GO:0004693,GO:0004713,GO:0005524,GO:0005634,GO:0006350,GO:0006355,GO:0006468,GO:0008353,GO:0017069
Smp_003110.1 GO:0016020
Smp_003110.2 GO:0005576,GO:0016020
Smp_003130.1 GO:0000287,GO:0016818,GO:0030145
Smp_003140.1 GO:0005737,GO:0007154,GO:0015031,GO:0035091
Smp_003190.1 GO:0005737
Smp_003230.1 GO:0005737,GO:0006897,GO:0008289,GO:0016020
Smp_003270.1 GO:0005737,GO:0005856
Smp_003280.1 GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0016020,GO:0043565
Smp_003300.1 GO:0004867,GO:0005576
Smp_003340.1 GO:0005783,GO:0005789
Smp_003410.1 GO:0000166,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843
Smp_003440.1 GO:0005515,GO:0016020,GO:0016021
Smp_003600.1 GO:0005576,GO:0009405,GO:0016787
Smp_003610.1 GO:0005576,GO:0009405,GO:0016787
Smp_003610.2 GO:0005576,GO:0009405,GO:0016787
Smp_003620.1 GO:0005525,GO:0007049,GO:0031105,GO:0051301
Smp_003660.1 GO:0000184,GO:0003723,GO:0004386,GO:0005524,GO:0005634,GO:0005737,GO:0006364,GO:0008026,GO:0042254
Smp_003670.1 GO:0016020,GO:0016021
Smp_003700.1 GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843
Smp_003710.1 GO:0003779,GO:0005523,GO:0005737,GO:0005856
Smp_003770.1 GO:0000786,GO:0003677,GO:0005634,GO:0005694,GO:0006334
Smp_003790.1 GO:0005524,GO:0016020
Smp_003900.1 GO:0003700,GO:0005634,GO:0006350,GO:0006355,GO:0007275
Smp_003930.1 GO:0005737
Smp_003940.1 GO:0006744,GO:0008168,GO:0009234
Smp_003970.1 GO:0003746,GO:0005853,GO:0006412,GO:0006414
Smp_003980.1 GO:0004198,GO:0005509,GO:0005622,GO:0006508,GO:0008233
Smp_003990.1 GO:0004807,GO:0006094,GO:0006096,GO:0006098,GO:0006633
Smp_004000.1 GO:0003723,GO:0003743,GO:0006412,GO:0006413
Smp_004040.1 GO:0003677,GO:0005634,GO:0006350,GO:0006355,GO:0008270
Smp_004060.1 GO:0005634,GO:0005737,GO:0007049,GO:0007067,GO:0051301
Smp_004070.1 GO:0004089,GO:0008270,GO:0015976
Smp_004080.1 GO:0005215,GO:0005509,GO:0005739,GO:0005743,GO:0006839,GO:0016021
Smp_004120.1 GO:0004000,GO:0009168
Smp_004170.1 GO:0006118,GO:0006662,GO:0006810,GO:0009055,GO:0015035,GO:0016020,GO:0016021,GO:0045454
Smp_004190.1 GO:0005886,GO:0006865,GO:0015171,GO:0016021
Smp_004220.1 GO:0006412,GO:0050567
Smp_004260.1 GO:0005634
Smp_004280.1 GO:0005739
Smp_004310.1 GO:0005524,GO:0005773,GO:0005774,GO:0015986,GO:0016021,GO:0016469,GO:0033179,GO:0046872,GO:0046933,GO:0046961
Smp_004350.1 GO:0004842,GO:0006512,GO:0043687,GO:0051246
Smp_004420.1 GO:0005886,GO:0016021
Smp_004420.2 GO:0005886,GO:0016021
Smp_004420.3 GO:0001518,GO:0005248,GO:0006814,GO:0016020,GO:0016021,GO:0031402
Smp_004440.1 GO:0005737
Smp_004470.1 GO:0005737,GO:0006979,GO:0045454,GO:0051920,GO:0055114
Smp_004480.1 GO:0004817,GO:0005524,GO:0005634,GO:0005737,GO:0006412,GO:0006423,GO:0008270
Smp_004540.1 GO:0005737
Smp_004550.1 GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005743,GO:0005746,GO:0005747,GO:0006118,GO:0006800,GO:0006810,GO:0006915,GO:0008137,GO:0008624,GO:0016021,GO:0017148,GO:0030262,GO:0030308
Smp_004590.1 GO:0003824,GO:0005737,GO:0016020
Smp_004600.1 GO:0005524,GO:0005737,GO:0042026,GO:0051082
Smp_004630.1 GO:0000139,GO:0005338,GO:0005351,GO:0005794,GO:0015780,GO:0016021
Smp_004640.1 GO:0003677,GO:0003899,GO:0006351,GO:0016779,GO:0046983
Smp_004680.1 GO:0005737
Smp_004690.1 GO:0005634,GO:0005737,GO:0008270
Smp_004730.1 GO:0005245,GO:0005509,GO:0005891,GO:0006816,GO:0016020,GO:0016021
Smp_004780.1 GO:0003755,GO:0005634,GO:0005737,GO:0006457
Smp_004780.2 GO:0003755,GO:0005634,GO:0005737,GO:0006457
Smp_004780.3 GO:0003755,GO:0005634,GO:0005737,GO:0006457
Smp_004810.1 GO:0004721,GO:0005506,GO:0005515,GO:0005624,GO:0005625,GO:0005737,GO:0005977,GO:0006470,GO:0007049,GO:0007067,GO:0007084,GO:0016020,GO:0030145,GO:0051301
Smp_004810.3 GO:0004721,GO:0005506,GO:0005515,GO:0005737,GO:0005977,GO:0006470,GO:0007049,GO:0030145,GO:0051301
Smp_004810.4 GO:0004721,GO:0005506,GO:0005515,GO:0005737,GO:0005977,GO:0006470,GO:0007049,GO:0030145,GO:0051301
